Rank,UnitSymbol,UnitLabel,UnitName,Age,Grouping,Composition,Description,Genesis
1,Qa,Qa,Alluvium,Quaternary,Alluvial deposits,"Silt, sand, gravel, cobbles, and boulders","Unconsolidated, poorly sorted, stream, fan, slope-wash, and talus deposits. Colluvial and talus mantles derived from rhyolites of Steamboat Mountain and Blawn Formations commonly conceal under­lying rhyolite tuffs and clastic deposits (Tt), especially east of The Movies. Topographically high erosional remnants of older fan or pediment deposits southwest of The Movies and south of The Tetons consist of fragments of Miocene rhyolite flow rocks. Thickness generally less than a few tens of meters except in the northwest part of map area where thickness may be much more.",Alluvial
2,Tsr,Tsr,Rhyolite member of Steamboat Mountain Formation,Miocene,Steamboat Mountain Formation,"Rhyolite flows; rhyolite tuff; perlitic vitrophyre; silicified, argillized, and alunitized rock","Pale-gray, red-brown, and lavender lava flows, domes, and shallow intrusive feeders having locally auto­brecciated margins of perlitic vitrophyre. Massive to strongly flow layered, locally spherulitic; vugs and lithophysae commonly contain vapor-phase quartz and topaz. Some rocks are virtually aphyric but most contain as much as 30 percent phenocrysts of smoky quartz, sanidine, sodic plagioclase, and rare biotite. Locally includes rhyolite tuff and intensively silicified, argillized, and alunitized rock along the Bible Spring fault zone southwest of Broken Ridge, south of Typhoid Spring, and in vicinity of Mountain Spring Peak. Fresh flow rocks are uniformly high-silica, high-alkali rhyolite having K-Ar and fission-track ages of 13 to 12 m.y. (Best and others, 1987). Individual flows may be as little as 30 m thick, whereas the isolated dome at north end of Fourmile Wash is 130 m thick, and total thickness of the pile at Steamboat Mountain, just west of map area, is about 500 m.","Dikes, flows, domes"
3,Tt,Tt,"Rhyolite tuffs and related clastic deposits, undivided",Miocene,Miocene volcanic and volcaniclastic rocks,"Weakly welded, lapilli ash-flow tuff with lithic fragments and minor air-fall and surge deposits; lower tuff contains dark-red garnet; sparse, coarse sandstone with cobbles, angular volcanic debris; locally intensely silicified, locally argillized and alunitized. ","Heterogeneous sequence of generally poorly exposed pyroclastic and minor epiclastic deposits associated with rhyolite flow member of the Steamboat Mountain Formation (13-12 m.y.) and rhyolite member of the Blawn Formation (22-18 m.y.). Colluvial and talus mantles of these flow members commonly conceal unit, especially east of The Movies. Tan to pale-green-brown or pink, weakly welded, lapilli ash-flow tuff is most common but minor air-fall and surge deposits also occur. Sparse phenocrysts less than 3 mm long of quartz, feldspar, and biotite and variable quantities of dark lithic fragments of Miocene rhyolite flow rocks and of older welded tuffs of the Bauers Tuff Member of the Condor Canyon Formation, Isom Formation, and Lund Formation. Locally, as at White Cliff and along west side of Broken Ridge, angular fragments of rhyolite flow rock as large as 1 m across compose as much as half of ash-flow tuff; these blocks were derived from nearby extrusive flow domes of rhyolite (Tsr) that were disintegrating concurrently with emplacement of these ash flows. Most tuffs represent material explosively erupted from many local vents from which viscous lavas were later extruded. Lower tuff beneath mafic flow (Tbm) in Blawn Wash contains dark-red garnet, indicating tuff's derivation from venting magma system centered in Pine Grove just north of map area (Abbott and others, 1983; Keith, 1983). Unit includes sparse, crudely stratified epiclastic beds of tan, coarse sandstone, locally containing cobbles of welded tuff (Lund Formation), and beds of red, poorly sorted, angular volcanic debris of sand to cobble size. Locally intensely silicified to form resistant masses of white to tan jasperoid; also argillized and alunitized. Thickness 100-200 m.","Ash-flow, ash-fall, surge deposits, alluvial"
4,Tbr,Tbr,Rhyolite member of Blawn Formation,Miocene,Blawn Formation,"Flow domes, intrusive plugs, and dikes of generally microcrystalline but uncommonly vitrophiric rhyolite; some dikes strongly porphyritic","Flow domes, intrusive plugs, and dikes of gray, pink, brown, and lavender rhyolite that is generally microcrystalline but uncommonly vitrophyric. Phenocrysts include quartz, sanidine, plagioclase, sparse biotite, and hornblende. The sparsely porphyritic, high-silica rhyolite containing sparse vapor-phase topaz at The Tetons is the youngest dated body, having a K-Ar age on sanidine of 18.3±0.7 m.y. (Best and others, 1987). Petrographically similar high-silica rhyolite with a K-Ar age on sanidine of 20.2±0.9 m.y. (Lindsey and Osmonson, 1978) occurs 3 km to the northwest as an intrusive plug at the Staats mine and as remnants of extrusive domes west of The Tetons. Apparently somewhat older bodies, having K-Ar ages of about 22 m.y. determined from similar rocks north and east of the map area (Best and others, 1987), include rhyolite lava flows at Pink Knolls and around Observation Knoll and northeast-striking rhyolite dikes between Jockey Road and Fourmile Wash; these bodies have slightly less silica and alkalies and are strongly porphyritic; about one-third of the rock consists of phenocrysts of feldspar and quartz as much as 3 cm in diameter.","Dikes, flows, domes"
5,Tbm,Tbm,Mafic flow member of Blawn Formation,Miocene,Blawn Formation,"Massive, locally vesicular, porphyritic lava flows that weather red brown with liesegang bands; amygdules of carbonate and zeolite in altered areas.","Massive, locally vesicular, porphyritic lava flows that weather red brown with liesegang bands. Phenocrysts of plagioclase and pyroxene lie in a gray to black microcrystalline, locally glassy, matrix. Amygdules of carbonate and zeolite minerals occur in altered flows in Blawn Wash. Flows range from 55 to 60 weight percent Si02 and 2.4 to 4.0 percent K2O. The basal flow in a sequence in about the same stratigraphic position on east flank of Wah Wah Mountains northeast of map area has a whole-rock K-Ar age of 23.2±1.0 m.y. (Abbott and others, 1983). Maximum thickness about 160 m.",Flows
6,Tv,Tv,"Volcanic rocks, undivided",Miocene,Miocene volcanic rocks ,"Breccia and megabreccia of nearby volcanic rocks, weak hematitic alteration and silicification; porphyritic, hornblende andesite lava flow; densely welded ash-flow tuff with locally conspicuous, light-colored, collapsed pumice lapilli; poorly exposed, weakly welded, crystal-poor rhyolitic ash-flow tuff.","Heterogeneous group of rocks that includes: (1) pink to red-brown, monolithologic and heterolithologic breccias and megabreccias that apparently formed by slumping and fluvial transport of erosional debris into fault-controlled basins at south end of Bible Spring fault zone. In main area of exposure in sec. 13, unit forms hillslope rubble derived from rhyolite tuffs (Tt), Isom Formation, hornblende andesite, and Bauers Tuff Member of Condor Canyon Formation (see below); clasts range from sand size to shattered and pervasively slicken sided slab-like blocks tens of meters long. Elsewhere, this unit consists mostly of monolithologic breccias derived from Bauers Tuff Member of Condor Canyon Formation. Local sandstones and conglomeratic mudflows within the sequence of breccias contain clasts mainly of hornblende andesite. This breccia unit has been commonly affected by weak hematitic alteration and silicification. Thickness may be as much as several hundred meters. (2) Hornblende andesite lava flows; gray to black where fresh and brown where altered; porphyritic, with 25 percent of phenocrysts consist mainly of acicular hornblende and zoned plagioclase and sparse augite and hypersthene grains. Matrix is felted mass of feldspar and glass. Unit is thickest, 100 m, south of Mountain Spring Peak. (3) Bauers Tuff Member of the Condor Canyon Formation consists of gray, buff, pink, and lavender, densely welded ash-flow tuff containing about 10 percent phenocrysts of plagioclase, sanidine, and biotite and locally conspicuous, light-colored, collapsed pumice lapilli. Average of six K-Ar ages on biotite, plagioclase, and whole-rock samples is 22.3 m.y. (Fleck and others, 1975; adjusted for new decay constants, Dalrymple, 1979). Thickness ranges from 10 to 120 m. (4) Leach Canyon Formation consists of generally poorly exposed, weakly welded, crystal-poor rhyolitic ash-flow tuff. White pumice lapilli and sparse, darker colored lithic fragments are set in red matrix of welded ash. Thickness ranges to as much as 120 m.","Tectonic breccia and megabreccia, lava flows, ash-flow tuff"
7,Ti,Ti,Isom Formation,Oligocene,Isom Formation,"Densely welded, crystal-poor, vuggy, ash-flow tuff; crystal-poor lava flows. ","Red brown to purple, crystal-poor ash-flow tuffs and lava flows that weather to small plates and grus. Phenocrysts generally constitute less than 15 percent of the rock and include plagioclase, and minor, smaller pyroxenes and Fe-Ti oxides. Tuffs are vuggy and densely welded and contain intensely compacted and locally elongated pumice fragments. Average K-Ar age on three plagioclase and whole-rock samples is 26.0 m.y. (Fleck and others, 1975; adjusted for new decay constants). Thickness ranges from 10 m to at least 150 m in southern part of map area.",Ash-flow tuff
8,Tl,Tl,Lund Formation,Oligocene,Needles Range Group,"Moderately to densely welded, crystal-rich, dacitic ash-flow tuff","Red-brown, moderately to densely welded, crystal-rich, dacitic ash-flow tuff with about 25 percent plagioclase, 10 percent biotite, lesser hornblende, and a trace of sphene. Flattened, light-colored pumice lapilli are prominent in most outcrops but lithic fragments are present only in the south. Black vitrophyre appears locally near base of unit. Average K-Ar age on two biotites is 27.9 m.y. (Best and Grant, in press). Unit in Blawn Wash includes 30-60 m of Three Creeks Tuff Member of Bullion Canyon Volcanics (Steven, 1981). This overlying tuff is gray, moderately welded, ash-flow tuff containing about 40 percent phenocrysts of (in descending order of abundance) euhedral white plagioclase as much as 6 mm long, hornblende, biotite, and trace amounts of quartz and sphene; white pumice lapilli are conspicuous. Thickness is somewhat uncertain because of faulting but is at least several hundred meters in places.",Ash-flow tuff
9,Twi,Twi,Intracaldera member of Wah Wah Springs Formation,Oligocene,Needles Range Group,"Dacite tuff with lithic fragments of dark volcanic rocks; purple, orange, brown and white where tuff is argillized along Bible Spring fault zone. ","Dacite tuff characterized by lithic fragments of dark volcanic rocks that constitute as much as 20 percent of rock; contains 3-4 percent quartz phenocrysts. Only exposed along Bible Spring fault zone where tuff is argillized and is purple, orange, brown, and white. Absent just south of map area. Exposed thickness is no more than a hundred meters.",Ash-flow tuff
10,Two,Two,Outflow tuff member of Wah Wah Springs Formation,Oligocene,Needles Range Group,"Dacite tuff, no lithic fragments. ",Similar to the intracaldera member with respect to phenocryst content but has only 1-2 percent quartz and no lithic fragments. Color where fresh is usually red brown. 100-250 m thick but pinches out just south of map area.,Ash-flow tuff
11,Tc,Tc,Cottonwood Wash Tuff of Wah Wah Springs Formation,Miocene,Needles Range Group,"Densely welded, crystal-rich, dacite ash-flow tuff, prominent euhedral biotite phenocrysts.","Densely welded, crystal-rich, dacite ash-flow tuff containing about 25 percent plagioclase, about 6 percent prominent euhedral biotite phenocrysts as much as 8 mm in diameter, 5 percent quartz phenocrysts as much as 4 mm in diameter, and 5 percent small hornblende phenocrysts that are inconspicuous in hand sample. Average K-Ar age on four biotites and a hornblende is 30.6 m.y. (Best and Grant, 1987). Less than 20 m thick in northern part of map area and absent in south part.",Ash-flow tuff
12,Tel,Tel,"Beers Spring and Lamerdorf Tuff Members, undivided, of Escalante Desert Formation",Oligocene,Needles Range Group,"Well-sorted sandstone containing grains of pyroxene, plagioclase, and quartz; densely welded rhyolitic ash-flow tuff with conspicuous light-colored pumice lapilli.","The younger Beers Spring Member is an olive-brown, well-sorted sandstone containing grains of pyroxene, plagioclase, and quartz. Ranges in thickness from a meter or so to as much as 400 m south of Jockey Road. The underlying Lamerdorf Tuff Member is variegated orange-brown to lavender, densely welded rhyolitic ash-flow tuff containing about 10 percent phenocrysts of chalky white plagioclase, lesser biotite, dark lithic fragments, and conspicuous light-colored pumice lapilli. A K-Ar age on biotite is 32.3±1.1 m.y. (Best and Grant, 1987).","Ash-flow tuff, alluvial "
13,Tea,Tea,Andesite flow member of Escalante Desert Formation,Oligocene,Needles Range Group," Massive, generally nonvesicular, lava flows","Black, massive, generally nonvesicular, lava flows containing phenocrysts of plagioclase and augite in a felty to glassy matrix. Weathers into brown blocks. Maximum thickness is 360 m.",Lava flows
14,Ter,Ter,Rhyolite flow member of Escalante Desert Formation,Oligocene,Needles Range Group,Variegated flow-layered lava flows; grey dacite sill of strongly porphyritic rock.,"Variegated lavender, brown, and red to pink, flow-layered lava flows containing less than 20 percent phenocrysts of chalky plagioclase, minor biotite, and hornblende. Weathers to pitted plates and chips in which angular pits once were occupied by plagioclase. Includes a gray dacite sill that consists of strongly porphyritic rock, containing phenocrysts of andesine, biotite, hornblende, and quartz in a spherulitic matrix, and that intrudes andesite flow member (Tea) 2 km south of Herd Pass. As much as 250 m thick south of Herd Pass and north of The Tetons.",Lava flows
15,Tem,Tem,Marsden Tuff Member and associated tuff and conglomerate of Escalante Desert Formation,Oligocene,Needles Range Group,"Crystal-poor and locally lithic-rich rhyolitic ash-flow tuff with lithic fragments; well-rounded, pebble to cobble conglomerate with sandy mudstone matrix. ","White, gray, orange, or pale-green crystal-poor and locally lithic-rich rhyolitic ash-flow tuff; phenocrysts of quartz, feldspar, and biotite are less than 1 mm across and make up only a few percent of rock; lithic fragments include pink and gray felsite and, near base of unit, pink quartzite, probably derived from earliest Cambrian and latest Pre­cambrian quartzite units that occur in southwestern Utah. Unit includes at its base: tuff containing abundant plagioclase and biotite phenocrysts in exposures 3 km southwest of Herd Pass; conglomerate of well-rounded pebbles and cobbles of limestone and some quartzite in gray- to tan-weathering, sandy mudstone that is locally more than a hundred meters thick in secs. 16, 17, 18, 20, 21, and 29, T. 31 S., R. 15 W. In Indian Peak and Mountain Home Ranges to west, Marsden Tuff Member is underlain by tuff of Sawtooth Peak Formation, which has a K-Ar age on biotite of 33.5±1.2 m.y. and a fission-track age on zircon of 33.6±1.8 m.y. (Best and others, 1987). Thickness 300 m.","Ash-flow tuff, alluvial "
16,JTRn,J^n,Navajo Sandstone,Jurassic,Navajo Sandstone,"Medium- to fine-grained, eolian cross-bedded sandstone","Tan or yellowish-gray to white, medium- to fine-grained, eolian crossbedded sandstone. About 650 m thick.",Eolian
17,Mrs,Mrs,Formation of Rose Spring Canyon,Upper Mississippian,Mississippian sedimentary rocks,"Cherty, fossiliferous limestone, medium-grained sandstone, minor argillaceous dolomite","Sequence of somewhat heterogeneous strata. Similar in age but differs in lithology from Woodman Formation in Gold Hill district, Utah, and Humbug Formation in Tintic and Ophir districts, Utah. Also similar in many respects to Upper Mississippian Battleship Wash Formation of Bird Spring Group of Langenheim and Langenheim (1965), which is exposed in the Arrow Canyon Range of southeastern Nevada. In Wah Wah Mountains, upper part of the formation of Rose Spring Canyon is interbedded blue-gray, medium-bedded, cherty, fossiliferous limestone, and buff to greenish-brown, medium-grained sandstone, and some minor beds of fine-grained argillaceous dolomite. Commonly contains large and small masses of gray hydrothermal jasperoid. Top is concealed, but total thickness of upper part is estimated to be about 300 m. Lower part is mostly buff to reddish-tan, medium-bedded, medium- to fine-grained sandstone and some similar-colored siltstone, and a con­spicuous zone of gray, thin- to medium-bedded, sparsely cherty, argillaceous dolomite in the middle. Lower part is possibly correlative with Scotty Wash Quartzite of south­eastern Nevada (Westgate and Knopf, 1932). Base is cut out by a fault in Wah Wah Mountains; thickness of lower part is estimated to be about 225 m. Entire unit ranges from 500 to 525 m thick.",Marine 
18,Mc,Mc,Monte Cristo Limestone,Lower Mississippian,Monte Cristo Limestone,"Medium- to thick-bedded, medium- to fine-grained, fossiliferous limestone","Medium ­to bluish-gray, medium- to thick-bedded, medium- to fine-grained, fossiliferous limestone. Upper two-thirds is free of sand and silt and is characterized by moderate to abundant nodules, stringers, and lenses of dark-brown to black chert. Lower one-third is somewhat thinner bedded than middle and upper parts and locally contains small to moderate quantities of dispersed sand and silt. Like the Monte Cristo Limestone in its type area in the Spring Mountains of southeastern Nevada (Hewett, 1931, p. 18-21), the Monte Cristo of the Wah Wah Mountains is believed to be of Early and Late Mississippian age. Top of unit or Upper Mississippian part is absent because of faulting, but the complete formation is estimated to be about 200 m thick. Sandberg and Poole (1977) and Sandberg and Gutschick (1984) included these rocks in the Gardison Limestone, Fitchville Formation, and upper member of the Pinyon Peak Limestone.",Marine 
19,Dcp,Dcp,"Crystal Pass Member of Sultan Limestone and Cover Fort Quartzite, undivided",Upper Devonian,Devonian sedimentary rocks,"Limestone, dolomite, sandstone, quartzite","Crystal Pass Member is medium- to dark-bluish-gray, medium- to thin-bedded, locally sand-streaked, somewhat silty limestone, or dark-gray medium- to coarse-grained, hydrothermal dolomite, containing lenses and beds of medium-grained, brown-weathering quartzite or sandstone that are a few centimeters to 2 m thick. Some of the limestone beds contain moderately well preserved brachiopods including Paurorhy­chia endlichi, Cyrtospirifer sp., and other Upper Devonian forms. Underlying Cove Fort Quartzite (Crosby, 1959) comprises irregular lenses of white, buff, and dark-brown, medium- to coarse-grained, porous quartzite overlying the extensive unconformity at top of Simonson Dolomite. Locally contains thin layers of blue-gray, fine-grained, argillaceous limestone or dolomite. Thickness of lenses ranges from a few centimeters to about 30 m; entire unit is less than 130 m thick. Sandberg and Poole (1977) and Sandberg and Gutschick (1984) included these rocks in the lower member of the Pinyon Peak Limestone.",Marine 
